序號,縣市,鄉鎮市區,測站,監測日期,測項(單位),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
116,桃園市,觀音區,觀音,2016/10/25,降雨強度 RAIN_INT (㎜),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,桃園市,觀音區,觀音,2016/10/25,小時風向值 WD_HR (degrees),90,96,105,110,132,116,173,248,234,269,291,296,293,299,316,304,13,48,49,48,68,78,74,352
118,桃園市,觀音區,觀音,2016/10/25,一氧化氮 NO (ppb),0.7,0.6,0.9,0.5,1.2,3.3,7.1,8.6,5.4,3.7,2.2,1.7,1.5,0.6,0.2,0.2,0.3,0.4,0.3,0.3,0.1,0.2,0.1,0.1
119,桃園市,觀音區,觀音,2016/10/25,細懸浮微粒 PM 2.5  (μg/m 3 ),3,11,14,20,12,13,8,20,22,33,28,31,29,34,37,35,37,37,27,18,6,18,16,24
120,桃園市,觀音區,觀音,2016/10/24,二氧化硫 SO2 (ppb),5,3,3.3,4.5,3.1,4.7,5.1,5.1,4.2,5.8,6.4,6,6.7,5.1,8.1,8.7,6.9,9.5,8,7.5,5.9,3,7.6,6
121,桃園市,觀音區,觀音,2016/10/24,二氧化氮 NO2 (ppb),20,11,6.3,13,7.4,14,17,13,9.2,11,10,8.9,9.5,7,7.4,11,9.2,25,33,25,23,17,22,19
122,桃園市,觀音區,觀音,2016/10/24,相對濕度 RH (percent),84,85,85,85,85,85,85,83,80,78,78,76,73,73,73,75,77,78,75,75,77,79,79,79
123,桃園市,觀音區,觀音,2016/10/24,一氧化碳 CO (ppm),0.22,0.15,0.12,0.15,0.1,0.13,0.14,0.17,0.16,0.17,0.16,0.17,0.16,0.14,0.13,0.17,0.17,0.27,0.39,0.38,0.39,0.36,0.37,0.37
124,桃園市,觀音區,觀音,2016/10/24,臭氧 O3 (ppb),19,28,30,26,31,23,21,24,28,28,31,35,37,40,38,34,34,11,5,12,12,16,12,15
125,桃園市,觀音區,觀音,2016/10/24,懸浮微粒 PM 10  (μg/m 3 ),41,36,33,33,33,41,41,48,41,40,40,46,51,51,45,45,47,46,48,38,40,34,35,33
126,桃園市,觀音區,觀音,2016/10/24,氮氧化物 NOx (ppb),20,12,6.4,14,7.8,15,19,15,12,14,13,12,12,9.2,9.2,13,11,27,40,27,25,18,23,20
127,桃園市,觀音區,觀音,2016/10/24,風速 WIND_SPEED (m/sec),2.5,4.4,4.5,3.8,4.8,3.6,4.2,5,4.1,4.2,4.4,5.4,6,5.5,6.1,4.7,4.3,2.4,3.5,2.7,2.2,1.6,1.6,1.9
128,桃園市,觀音區,觀音,2016/10/24,溫度 AMB_TEMP (℃),26,26,26,26,26,26,26,26,27,27,28,28,29,29,29,28,28,27,27,27,26,26,26,26
